FID,FID_1,FID_1_1,DISTRICTID,NAME,AGENCY,AGENCYURL,CONTACT,PHONE,EMAIL,SUBTYPEFIE,LASTUPDATE,LASTEDITOR,created_us,created_da,last_edite,last_edi_1,SHAPE_Leng,SHAPE_Area,Count_,Sum_Zip,Sum_Buildi,Sum_Number,Sum_Width,Sum_Length,Sum_Square,Sum_Numb_1,Sum_Occupa,Sum_Latitu,Sum_YearBu,Sum_Longit,Sum_Assess,Sum_Statio,Count_1,Sum_totalR,Sum_Exposu,Sum_Patien,Sum_RunNum,Sum_Lati_1,Sum_Long_1
0,0,0,407,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,13948.853133299999000,9451700.775510000100000,4,246420,30.000000000000000,2,135,190,13150,2,42,162.649714399999990,2011,-358.525818800000020,0,4,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
1,1,1,402,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,11423.452707700000000,7077710.899829999500000,11,677655,90.000000000000000,8,133,193,66258,1,9,447.314417699999980,2007,-985.980989400000000,0,30,7,14658,8,0,1414000000000.000000000000000,284.650599399999980,-627.457637900000010
2,2,2,408,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,11432.675962100000000,4652844.171500000200000,13,800862,108.000000000000000,8,400,720,47100,2,4,528.645175600000020,0,-1165.193328200000000,0,21,2,4188,3,0,404000000000.000000000000000,81.339429999999993,-179.260798999999990
3,3,3,403,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10498.935429499999000,4940482.137960000000000,3,184815,0.000000000000000,2,0,0,133500,0,285,122.014515500000000,1949,-268.913048500000000,0,4,4,8376,4,0,808000000000.000000000000000,162.686913699999990,-358.552500300000020
4,4,4,412,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,13368.408265700000000,7533593.881210000300000,6,369626,30.000000000000000,1,144,243,34992,0,0,244.006221700000000,0,-537.731992600000010,0,16,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
5,5,5,409,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,12038.436139500000000,7432028.337209999600000,6,369630,20.000000000000000,3,0,0,90575,0,182,244.043941999999990,3917,-537.776892600000000,0,16,13,27222,14,0,2626000000000.000000000000000,528.762461199999960,-1165.230654600000000
6,6,6,413,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,15053.423575999999000,7091066.460339999800000,23,1416906,110.000000000000000,12,275,320,124800,1,228,935.477953100000040,0,-2061.249648500000100,0,67,5,10470,5,0,1010000000000.000000000000000,203.382386800000010,-448.096417799999980
7,7,7,404,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10770.644566499999000,4138264.434690000000000,2,123210,37.000000000000000,2,140,280,23200,1,0,81.352554600000005,0,-179.277788800000000,0,8,3,6282,3,0,606000000000.000000000000000,122.033414200000000,-268.924086699999980
8,8,8,414,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,15036.840245699999000,5069701.244529999800000,19,1170492,123.000000000000000,17,340,415,91615,40,241,772.858846399999950,0,-1702.658528600000000,0,56,4,8376,4,0,808000000000.000000000000000,162.715692499999990,-358.468935499999990
9,9,9,410,Fire Station 4,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,13877.489990000000000,8864328.512520000300000,17,1047285,77.000000000000000,13,100,100,137600,43,101,691.593618500000050,3807,-1523.619933600000000,0,40,12,25128,12,0,2424000000000.000000000000000,488.187440999999980,-1075.529199900000100
