ADDRESSNUM,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,SCHEDULED_COMPLETED,INSP_RE_INSP,PASS_FAIL,INSPECTION_DATE,ORIG_INSPECTION_DATE,ORIG_INSPECTION_TIME,RE_INSPECTION_DATE,START_TIME,END_TIME,INSP_ID,STATION,COMPANY,SHIFT,QUARTER,INSPECTION_TYPE,TOTAL_HOURS,TOTAL_MINUTES,INSPECTION_NOTES,ADDNEW_DATE,ADDNEW_ID,UPDATE_DATE,UPDATE_ID
2,5600,N,GLEN ELM,DR,C,INSP,P,12/13/2001,,,,,,FP0323,16,E16,3,4,SCHEDULED,,,,12/13/2011,FP0323,12/13/2011,FP0323
2,5600,N,GLEN ELM,DR,S,INSP,,12/13/2002,,,,,,FP0323,16,E16,3,4,,,,,,,12/13/2011,FP0323
2,5600,N,GLEN ELM,DR,C,INSP,P,9/19/2012,,,,,,FP0277,16,E16,2,4,YEARLY,,,SPRINKLER SYSTEM CHECKED  03-21-12   OUTSIDE GENERATOR  03-2012  NO VIOLATIONS,9/19/2012,FP0277,9/19/2012,FP0277
2,5600,N,GLEN ELM,DR,S,INSP,,9/19/2013,,,,,,FP0277,16,E16,3,4,,,,,,,9/19/2012,FP0277
2,5600,N,GLEN ELM,DR,S,RE_INSP,,9/19/2013,9/19/2012,,,,,FP0277,16,E16,2,4,,,,,,,9/19/2012,FP0277
4,3319,W,WOODHILL,LN,S,INSP,,11/10/2011,,,,,,FP0261,FHQ,I6,D,3,EXISTING,,,,12/9/2011,FP0261,12/9/2011,FP0261
4,3319,W,WOODHILL,LN,S,INSP,,11/9/2012,,,,,,FP0261,FHQ,I4,D,3,,,,,,,12/9/2011,FP0261
4,3319,W,WOODHILL,LN,C,INSP,P,2/19/2016,,,,,,FP0357,FHQ,I2,D,1,SCHEDULED,,,NO VIOLATIONS. 2 PRIVATE HYDRANTS.,2/22/2016,FP0357,8/16/2016,FP0264
4,3319,W,WOODHILL,LN,S,INSP,,2/18/2017,,,,,,FP0357,FHQ,I2,D,1,,,,,,,2/22/2016,FP0357
5,3315,N,UNIVERSITY,ST,C,INSP,,5/11/2011,,,,,,FP0261,FHQ,I6,D,2,SCHEDULED,,,,7/12/2011,FP0261,7/12/2011,FP0261
5,3315,N,UNIVERSITY,ST,C,INSP,P,7/3/2013,,,,,,FP0261,FHQ,I6,D,2,SCHEDULED,,,ALL OK,,,9/4/2013,FP0261
8,1512,W,BRADLEY,AV,C,INSP,F,3/31/2011,,,,,,FP0318,FHQ,I4,D,2,SCHEDULED,,,,12/21/2011,FP0318,9/25/2013,FP0318
8,1512,W,BRADLEY,AV,C,INSP,F,3/29/2012,,,,,,FP0318,FHQ,I5,D,2,SCHEDULED,,,,,,9/25/2013,FP0318
8,1512,W,BRADLEY,AV,C,INSP,F,9/30/2011,,,,,,FP0318,FHQ,I4,D,2,SCHEDULED,,,,1/26/2012,FP0318,9/25/2013,FP0318
8,1512,W,BRADLEY,AV,C,INSP,F,9/21/2012,,,,,,FP0318,FHQ,I5,D,2,SCHEDULED,,,SEVERAL VIOLATIONS,,,9/25/2013,FP0318
8,1512,W,BRADLEY,AV,C,INSP,F,3/1/2013,,,,,,FP0318,FHQ,I5,D,1,SCHEDULED,,,SEVERAL VIOLATIONS,3/7/2013,FP0318,9/25/2013,FP0318
8,1512,W,BRADLEY,AV,C,INSP,F,10/8/2013,,,,,,FP0318,FHQ,I5,D,4,SCHEDULED,,,SEVERAL VIOLATIONS,,,10/31/2013,FP0318
8,1512,W,BRADLEY,AV,C,RE_INSP,P,4/3/2013,3/1/2013,,,,,FP0318,FHQ,I5,D,1,VIOLATION,,,,,,9/25/2013,FP0318
8,1512,W,BRADLEY,AV,C,RE_INSP,P,10/30/2013,10/8/2013,,,,,FP0318,FHQ,I5,D,4,VIOLATION,,,,10/31/2013,FP0318,10/31/2013,FP0318
8,1512,W,BRADLEY,AV,S,INSP,F,3/14/2014,,,,,,FP0318,FHQ,I5,D,1,SCHEDULED,,,VIOLATIONS,3/18/2014,FP0318,3/18/2014,FP0318
8,1512,W,BRADLEY,AV,S,INSP,F,4/16/2015,,,,,,FP0318,FHQ,I5,D,1,SCHEDULED,,,,,,4/27/2015,FP0318
8,1512,W,BRADLEY,AV,C,RE_INSP,F,4/17/2014,3/14/2014,,,,,FP0318,FHQ,I5,D,1,VIOLATION,,,,,,4/27/2015,FP0318
8,1512,W,BRADLEY,AV,S,RE_INSP,P,5/2/2014,3/14/2014,,,,,FP0318,FHQ,I5,D,1,VIOLATION,,,ALL CORRECTED,5/5/2014,FP0318,5/5/2014,FP0318
8,1512,W,BRADLEY,AV,C,INSP,F,10/30/2014,,,,,,FP0318,FHQ,I5,D,4,SCHEDULED,,,12 VIOLATIONS,10/31/2014,FP0318,12/11/2014,FP0318
8,1512,W,BRADLEY,AV,C,RE_INSP,F,12/3/2014,10/30/2014,,,,,FP0318,FHQ,I5,D,4,VIOLATION,,,SOME VIOLATIONS STILL,12/11/2014,FP0318,12/11/2014,FP0318
8,1512,W,BRADLEY,AV,S,INSP,F,10/28/2015,,,,,,FP0318,FHQ,I5,D,4,SCHEDULED,,,SEVERAL VIOLATIONS,,,11/30/2015,FP0318
8,1512,W,BRADLEY,AV,C,RE_INSP,P,12/10/2014,10/30/2014,,,,,FP0318,FHQ,I5,D,4,VIOLATION,,,EVERYTHING FIXED ISSUED 2 CITATIONS FOR FAILING DURING THE 1ST RE INSPECTION,12/11/2014,FP0318,12/11/2014,FP0318
8,1512,W,BRADLEY,AV,S,RE_INSP,F,5/4/2015,4/16/2015,,,,,FP0318,FHQ,I5,D,1,VIOLATION,,,STILL HAD VIOLATIONS NONE OF THEM HAVE BEEN FIXED,,,5/6/2015,FP0318
8,1512,W,BRADLEY,AV,S,RE_INSP,P,11/20/2015,10/28/2015,,,,,FP0318,FHQ,I5,D,2,VIOLATION,,,ALL CORRECTED,11/30/2015,FP0318,11/30/2015,FP0318
8,1512,W,BRADLEY,AV,S,INSP,F,2/19/2016,,,,,,FP0318,FHQ,I5,D,2,SCHEDULED,,,7 VIOLATIONS,3/1/2016,FP0318,3/28/2016,FP0318
8,1512,W,BRADLEY,AV,C,RE_INSP,P,3/29/2016,2/19/2016,,,,,FP0318,FHQ,I5,D,2,VIOLATION,,,2 VIOLATIONS REPAIRED FIRE EXT. OUT OF DATE AND CLEAN DEBRIS UP FROM STAIRWAY AND OUTSIDE BY BAR,,,4/6/2016,FP0318
8,1512,W,BRADLEY,AV,S,RE_INSP,F,3/28/2016,2/19/2016,,,,,FP0318,FHQ,I5,D,2,VIOLATION,,,7 VIOLATIONS 5 REPAIRED  ,,,3/28/2016,FP0318
